Records from input file (district: CACHAR) not found in Cachar data file (D:\Early Warning System\CACHAR_SONAI_student_data.csv) using either 'unique_student_identifier' or 'uuid', and not exempted by Class-XII/Promoted or Dropout status:

Original Input Excel Row Index: 37449, unique_student_identifier: '18210716302180022', uuid: '751347493148.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37461, unique_student_identifier: '18210710501180009', uuid: '552815065302.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37463, unique_student_identifier: '18210710501180017', uuid: '251025514910.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37464, unique_student_identifier: '18210711201180006', uuid: '955472978721.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37467, unique_student_identifier: '18210711201180012', uuid: '266889111387.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37474, unique_student_identifier: '18210711201180013', uuid: '447885347016.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37480, unique_student_identifier: '18210705801180004', uuid: '810855661342.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37493, unique_student_identifier: '18210711201180017', uuid: '695615431010.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37494, unique_student_identifier: '18210711201180018', uuid: '911022296092.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37495, unique_student_identifier: '18210711201180019', uuid: '956390376162.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
